epoch,accuracy,loss,val_accuracy,val_loss
0,0.6545677185058594,0.8117949366569519,0.834967315196991,0.48166951537132263
1,0.7842577695846558,0.5379987359046936,0.8692810535430908,0.3741286098957062
2,0.8246329426765442,0.4443260431289673,0.8464052081108093,0.3582618832588196
3,0.8454322814941406,0.40523454546928406,0.8823529481887817,0.313840389251709
4,0.8458401560783386,0.38924136757850647,0.8725489974021912,0.3162907063961029
5,0.8531810641288757,0.36463049054145813,0.8856208920478821,0.2890201508998871
6,0.8584828972816467,0.35045692324638367,0.8807189464569092,0.28045693039894104
7,0.8690864443778992,0.3396722972393036,0.8937908411026001,0.27257513999938965
8,0.8747960925102234,0.31938689947128296,0.9035947918891907,0.266284704208374
9,0.8772430419921875,0.3209555149078369,0.8839869499206543,0.26560530066490173
10,0.8727569580078125,0.31078940629959106,0.9019607901573181,0.2610988914966583
11,0.8821370601654053,0.3018929660320282,0.9035947918891907,0.24693310260772705
12,0.8849918246269226,0.29245805740356445,0.898692786693573,0.24418266117572784
13,0.8915171027183533,0.2918102741241455,0.8970588445663452,0.2449030876159668
14,0.8980424404144287,0.26256048679351807,0.898692786693573,0.23674562573432922
15,0.8894779682159424,0.27819421887397766,0.8970588445663452,0.2391951084136963
16,0.8927406072616577,0.2689325213432312,0.8970588445663452,0.23851850628852844
17,0.8894779682159424,0.2740728557109833,0.9035947918891907,0.23493312299251556
18,0.8943719267845154,0.2587451934814453,0.9019607901573181,0.23002898693084717
19,0.8968189358711243,0.2692713439464569,0.9084967374801636,0.22652587294578552
20,0.8968189358711243,0.2597820460796356,0.9133986830711365,0.22388313710689545
21,0.896411120891571,0.25333595275878906,0.8594771027565002,0.3085073232650757
22,0.9115008115768433,0.23956038057804108,0.8856208920478821,0.2527509331703186
23,0.9078303575515747,0.24484163522720337,0.9003267884254456,0.23186488449573517
24,0.9037520289421082,0.23681458830833435,0.9199346303939819,0.21614903211593628
25,0.901305079460144,0.2506100833415985,0.9019607901573181,0.21575389802455902
26,0.8984502553939819,0.24444539844989777,0.906862735748291,0.21756073832511902
27,0.9053833484649658,0.2324559986591339,0.8954248428344727,0.22702470421791077
28,0.9163947701454163,0.22810234129428864,0.9035947918891907,0.2149265706539154
29,0.9119086265563965,0.23512305319309235,0.915032684803009,0.20932909846305847
30,0.9098694920539856,0.22619016468524933,0.8709150552749634,0.2932458221912384
31,0.91109299659729,0.22588439285755157,0.9101307392120361,0.2034723162651062
32,0.900897204875946,0.23435531556606293,0.9019607901573181,0.2348533272743225
33,0.9082381725311279,0.2231133133172989,0.9166666865348816,0.20059874653816223
34,0.9147634506225586,0.22011913359165192,0.9035947918891907,0.21803642809391022
35,0.9151712656021118,0.21998266875743866,0.9052287340164185,0.217312753200531
36,0.91109299659729,0.22093382477760315,0.9248365759849548,0.218501478433609
37,0.9139478206634521,0.21509037911891937,0.9003267884254456,0.22024990618228912
38,0.9119086265563965,0.22302699089050293,0.9003267884254456,0.22162428498268127
39,0.91109299659729,0.21492846310138702,0.8970588445663452,0.2277137190103531
40,0.9123165011405945,0.21765412390232086,0.8888888955116272,0.23566073179244995
41,0.9180260896682739,0.21850407123565674,0.8790849447250366,0.25244206190109253
0,0.6504893898963928,0.8020220398902893,0.8300653696060181,0.44993162155151367
1,0.7875204086303711,0.5337035059928894,0.8480392098426819,0.36609381437301636
2,0.819331169128418,0.4381576478481293,0.8692810535430908,0.3431670069694519
3,0.8315660953521729,0.4094911217689514,0.8905228972434998,0.3034447431564331
4,0.8527732491493225,0.37032756209373474,0.8921568393707275,0.29251646995544434
5,0.8580750226974487,0.36124902963638306,0.8643791079521179,0.30527353286743164
6,0.8515497446060181,0.35474443435668945,0.8692810535430908,0.2963217496871948
7,0.8768352270126343,0.3248010575771332,0.8905228972434998,0.25995302200317383
8,0.8694943189620972,0.31924664974212646,0.8905228972434998,0.2574758231639862
9,0.8743882775306702,0.3156755864620209,0.8676470518112183,0.29754209518432617
10,0.8833605051040649,0.29751503467559814,0.8905228972434998,0.24826371669769287
11,0.8890701532363892,0.29293227195739746,0.8823529481887817,0.2620358169078827
12,0.8882544636726379,0.2824181020259857,0.9035947918891907,0.2503407597541809
13,0.8931484222412109,0.2795298397541046,0.9133986830711365,0.22430367767810822
