,precision,recall,f1-score,support
glioma,0.9436619718309859,0.9403508771929825,0.9420035149384886,285.0
meningioma,0.8333333333333334,0.851063829787234,0.8421052631578947,141.0
pituitary,0.9510869565217391,0.9408602150537635,0.9459459459459459,186.0
accuracy,0.9199346405228758,0.9199346405228758,0.9199346405228758,0.9199346405228758
macro avg,0.9093607538953528,0.91075830734466,0.910018241347443,612.0
weighted avg,0.9204997318380301,0.9199346405228758,0.9201859310599318,612.0
